categories;participants;day
tatamis;5;
days;2;
finalblock;YES;
breaktype;Individual;
startime;10:00:00;
date;10/01/2022;
Adults Jiu-Jitsu Women +70 kg;9;2
Adults Jiu-Jitsu Women -45 kg;8;1
Adults Jiu-Jitsu Women -48 kg;14;1
Adults Jiu-Jitsu Women -52 kg;12;2
Adults Jiu-Jitsu Women -57 kg;16;1
Adults Jiu-Jitsu Women -63 kg;15;1
Adults Jiu-Jitsu Women -70 kg;11;1
Adults Jiu-Jitsu Men +94 kg;21;1
Adults Jiu-Jitsu Men -56 kg;22;1
Adults Jiu-Jitsu Men -62 kg;30;2
Adults Jiu-Jitsu Men -69 kg;38;1
Adults Jiu-Jitsu Men -77 kg;41;2
Adults Jiu-Jitsu Men -85 kg;37;2
Adults Jiu-Jitsu Men -94 kg;30;2
Adults Duo Men;12;2
Adults Duo Mixed;13;1
Adults Duo Women;8;2
Adults Fighting Women +70 kg;7;1
Adults Fighting Women -45 kg;5;2
Adults Fighting Women -48 kg;10;1
Adults Fighting Women -52 kg;9;2
Adults Fighting Women -57 kg;16;1
Adults Fighting Women -63 kg;18;2
Adults Fighting Women -70 kg;11;2
Adults Fighting Men +94 kg;9;1
Adults Fighting Men -56 kg;13;2
Adults Fighting Men -62 kg;25;2
Adults Fighting Men -69 kg;25;1
Adults Fighting Men -77 kg;28;2
Adults Fighting Men -85 kg;23;2
Adults Fighting Men -94 kg;16;1
Adults Show Men;7;1
Adults Show Women;9;1
Adults Show Mixed;7;2
